"Year","Total Departures","Total Passengers","Total Seats","Total Load Factor (%)","Total Passengers/Flight","Total Seats/Flight","Total Distance/Flight (sm)","Total Distance/Passenger (sm)","Total Payload (lbs)","Total Freight (lbs)","Total Mail (lbs)","Domestic Departures","Domestic Passengers","Domestic Seats","Domestic Load Factor (%)","Domestic Passengers/Flight","Domestic Seats/Flight","Domestic Distance/Flight (sm)","Domestic Distance/Passenger (sm)","Domestic Payload (lbs)","Domestic Freight (lbs)","Domestic Mail (lbs)","Outbound International Departures","Outbound International Passengers","Outbound International Seats","Outbound International Load Factor (%)","Outbound International Passengers/Flight","Outbound International Seats/Flight","Outbound International Distance/Flight (sm)","Outbound International Distance/Passenger (sm)","Outbound International Payload (lbs)","Outbound International Freight (lbs)","Outbound International Mail (lbs)","Inbound International Departures","Inbound International Passengers","Inbound International Seats","Inbound International Load Factor (%)","Inbound International Passengers/Flight","Inbound International Seats/Flight","Inbound International Distance/Flight (sm)","Inbound International Distance/Passenger (sm)","Inbound International Payload (lbs)","Inbound International Freight (lbs)","Inbound International Mail (lbs)"
"2014","10,312,315","868,276,743","1,069,589,516","81.2","84.19804311641","103.71963191582","919.97818074797","1,409.94178293452","351,533,942,768","43,988,218,345","1,205,245,319","8,731,218","676,358,658","829,145,827","81.6","77.46441080729","94.96336330166","667.99256644377","883.61844257784","256,581,198,821","24,066,383,578","948,015,406","791,227","95,693,442","120,341,795","79.5","120.94309471239","152.09515726839","2,316.85990493247","3,255.39686706013","47,455,879,518","8,577,403,692","172,177,564","789,870","96,224,643","120,101,894","80.1","121.82339245699","152.05273526023","2,306.14399964551","3,274.17732082415","47,496,864,429","11,344,431,075","85,052,349"
"2015","10,312,239","911,848,492","1,114,326,663","81.8","88.42390988029","108.05865370265","950.9172175897","1,428.68195564006","367,878,391,819","44,565,177,047","1,351,920,769","8,689,086","707,749,198","858,763,401","82.4","81.45266349073","98.83242046402","685.51732725398","893.82881349023","266,544,363,143","24,621,964,272","1,118,476,992","811,866","101,668,755","127,797,427","79.6","125.22849214033","157.41197069467","2,375.22868921719","3,274.95713518868","50,502,540,756","8,269,366,086","145,283,756","811,287","102,430,539","127,765,835","80.2","126.25684745349","157.48537200769","2,368.08822401937","3,291.73359409931","50,831,487,920","11,673,846,689","88,160,021"
"2016","10,508,893","946,331,968","1,166,508,241","81.1","90.05058553741","111.00200953611","970.47316620314","1,455.20794404676","386,714,027,176","45,594,203,890","1,251,492,202","8,829,635","730,902,303","896,522,281","81.5","82.77831450564","101.53559926316","696.68765266061","905.70225008307","279,618,455,277","25,455,595,958","1,032,280,317","840,120","107,293,100","134,992,241","79.5","127.71163643289","160.68209422463","2,411.67962671999","3,311.06697636661","53,285,871,622","8,164,684,169","127,211,010","839,138","108,136,565","134,993,719","80.1","128.86624726803","160.87189353837","2,408.42470845082","3,327.97048730927","53,809,700,277","11,973,923,763","92,000,875"
"2017","10,575,007","979,557,158","1,205,822,495","81.2","92.62945717199","114.0256923707","992.96203094712","1,469.82226244729","402,988,710,105","49,381,388,353","1,425,845,215","8,848,628","752,580,029","922,610,756","81.6","85.05047663886","104.26596710812","708.88584693582","911.46461062415","292,118,464,430","27,026,425,593","1,203,413,997","863,194","113,157,772","141,613,627","79.9","131.09193530076","164.05770545208","2,447.07798710371","3,312.83733799566","54,940,299,621","8,895,074,154","127,967,286","863,185","113,819,357","141,598,112","80.4","131.85974848961","164.04144186936","2,450.93489576394","3,329.41226250294","55,929,946,054","13,459,888,606","94,463,932"
"2018","10,877,895","1,027,166,772","1,258,418,943","81.6","94.42697985226","115.68588803257","1,006.74486488425","1,481.23202707243","413,191,860,538","51,598,865,581","1,406,240,739","9,093,670","787,923,485","963,489,168","81.8","86.64526918175","105.95163096967","719.83849435926","917.4161489932","298,056,089,954","28,071,567,257","1,190,330,614","892,115","119,447,881","147,457,870","81","133.89291851387","165.29020361725","2,468.70284100144","3,333.53660225249","57,080,533,763","9,429,873,120","122,898,464","892,110","119,795,406","147,471,905","81.2","134.28322292094","165.30686238244","2,469.34164620955","3,342.6549524445","58,055,236,821","14,097,425,204","93,011,661"
"2019","11,133,317","1,065,359,407","1,294,958,937","82.3","95.69110508575","116.31384761612","1,005.07955284126","1,478.69730133054","426,516,853,995","50,696,474,430","1,385,113,418","9,325,914","821,070,954","997,539,484","82.3","88.04187493044","106.96425937447","723.60145032433","919.53080243903","310,753,938,457","28,470,151,938","1,178,175,611","903,122","121,892,763","148,669,030","82","134.96821359683","164.6167738135","2,458.62972776657","3,352.49164911456","57,381,152,091","8,735,892,054","112,581,432","904,281","122,395,690","148,750,423","82.3","135.35138966759","164.49579610763","2,456.29597326495","3,363.67707753435","58,381,763,447","13,490,430,438","94,356,375"
"2020","6,709,666","405,736,929","710,439,185","57.1","60.47051060366","105.88294335366","944.26502511451","1,225.559027835","285,874,925,231","52,257,808,871","1,333,652,730","5,936,974","341,647,940","603,002,065","56.7","57.54580363667","101.56724031468","717.23607464004","896.36561386555","219,570,615,230","31,027,575,930","1,193,938,689","384,813","31,989,931","53,569,885","59.7","83.13110783679","139.21017481218","2,691.49898262273","2,965.85069655199","32,524,873,512","8,050,460,550","85,535,367","387,879","32,099,058","53,867,235","59.6","82.75533864942","138.87638928635","2,685.80461690373","2,994.97049598776","33,779,436,489","13,179,772,391","54,178,674"
"2021","8,621,244","708,730,044","963,657,715","73.5","82.20739883943","111.7771072249","969.89352012308","1,147.76241374777","357,793,155,073","58,308,913,462","1,482,232,881","7,564,057","613,365,424","809,576,757","75.8","81.08947671864","107.02943631969","750.53705518084","934.86503705497","276,188,741,063","32,780,508,125","1,360,215,462","527,966","46,993,429","77,019,909","61","89.00843804336","145.88043358853","2,544.57822473417","2,507.14129860581","40,223,645,195","9,777,830,134","77,867,852","529,221","48,371,191","77,061,049","62.8","91.40073995552","145.61222816177","2,534.16406000518","2,526.7240071058","41,380,768,815","15,750,575,203","44,149,567"
"2022","9,719,130","949,607,595","1,176,031,348","80.7","97.70499983023","121.00170982382","1,019.35105107144","1,349.49741424614","410,003,555,169","55,328,264,642","1,448,362,602","8,223,577","760,135,404","932,711,945","81.5","92.43367016567","113.41925113609","751.3561380893","932.75077083767","304,478,183,942","30,578,467,098","1,338,496,687","747,023","94,476,432","121,604,224","77.7","126.47057988844","162.78511371136","2,493.26472678887","3,013.81345183527","52,283,769,638","9,491,925,752","62,536,228","748,530","94,995,759","121,715,179","78","126.90975512004","162.60561233351","2,492.67795412342","3,028.99594008192","53,241,601,589","15,257,871,792","47,329,687"
"2023","10,257,340","1,066,903,881","1,316,476,589","81","104.01369955564","128.34483296839","1,049.85745748898","1,431.23896425305","436,944,956,018","51,783,335,038","951,047,488","8,567,795","829,171,190","1,026,322,153","80.8","96.77766449828","119.78836480098","760.57841650039","932.91826821431","319,249,372,886","28,094,419,773","838,155,070","844,013","118,288,595","145,056,242","81.5","140.15020503239","171.86493809929","2,518.75359976683","3,158.41309535378","58,252,025,650","8,607,312,466","64,513,741","845,532","119,444,096","145,098,194","82.3","141.26502131203","171.60579847954","2,514.87129641457","3,180.07520014217","59,443,557,482","15,081,602,799","48,378,677"
"2024","10,682,283","1,118,680,833","1,376,698,915","81.3","104.72301033403","128.87684355488","1,062.20803895572","1,458.71014404606","449,572,361,217","53,134,560,284","1,267,780,669","8,863,870","859,504,614","1,061,179,480","81","96.96719536726","119.71965744082","757.62636703833","932.57675456993","324,711,409,122","28,007,566,030","1,162,760,943","908,343","129,192,366","157,745,887","81.9","142.2286140808","173.66334853684","2,554.29401668753","3,193.99076146651","61,690,821,625","8,839,824,878","57,850,860","910,070","129,983,853","157,773,548","82.4","142.82841210017","173.36418956784","2,539.50812684739","3,212.99778772522","63,170,130,470","16,287,169,376","47,168,866"
"2025","10,854,552","1,106,865,260","1,393,328,515","79.4","101.97244989936","128.3635211292","1,063.02542196122","1,478.88257153269","447,486,637,244","50,647,849,326","2,382,761,511","9,035,376","848,562,288","1,073,904,451","79","93.91554795285","118.85553528708","757.83702548737","939.26425572073","322,709,219,425","25,948,087,720","2,291,064,773","909,048","129,268,953","159,620,986","81","142.20256026084","175.59137251278","2,589.26462629036","3,241.15984809593","61,663,096,206","8,698,146,615","51,353,757","910,128","129,034,019","159,803,078","80.7","141.7756832006","175.58308062163","2,568.38204955786","3,262.07134654157","63,114,321,613","16,001,614,991","40,342,981"
"2026M1-1","817,761","79,460,436","105,266,809","75.5","97.1682875559","128.7256411103","1,071.9134893936","1,500.16569807143","33,803,133,133","3,754,639,533","202,053,772","673,926","59,595,183","80,565,578","74","88.42986173556","119.5466238133","768.54737315373","958.99094559371","24,272,774,619","1,945,186,393","195,164,176","71,769","9,449,431","12,334,140","76.6","131.66452089342","171.85888057518","2,503.50719670053","3,138.86402398197","4,688,902,176","625,162,516","4,342,212","72,066","10,415,822","12,367,091","84.2","144.53170704632","171.60784558599","2,483.15130574751","3,109.89382595056","4,841,456,338","1,184,290,624","2,547,384"
